Player,Nation,Position,Squad,Age,Year of birth,90s Played,Goals,Shots Total,Shots on Target,Shots on Target %,Shots Total/90,Shots on target/90,Goals/Shot,Goals/Shot on Target,Average Shot Distance,Shots from Free Kicks,Penalty Kicks Made,Penalty Kicks Attempted,xG: Expected Goals,npxG: Non-Penalty xG,npxG/Shot,Goals - xG,Non-Penalty Goals - npxG,Matches
Ben Doak,sct SCO,FW,Liverpool,17,2005,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Lewis Dobbin,eng ENG,MF,Everton,20,2003,2.6,1,5,2,40.0,1.94,0.78,0.20,0.50,15.6,0,0,0,0.3,0.3,0.06,+0.7,+0.7,Matches
Matt Doherty,ie IRL,"DF,MF",Wolves,31,1992,12.8,1,9,3,33.3,0.70,0.23,0.11,0.33,10.8,0,0,0,0.8,0.8,0.09,+0.2,+0.2,Matches
Jeremy Doku,be BEL,"FW,MF",Manchester City,21,2002,17.7,3,55,19,34.5,3.10,1.07,0.05,0.16,16.4,0,0,0,2.5,2.5,0.05,+0.5,+0.5,Matches

Nicolás Domínguez,ar ARG,"MF,FW",Nott'ham Forest,25,1998,16.6,2,22,6,27.3,1.32,0.36,0.09,0.33,16.9,0,0,0,1.3,1.3,0.06,+0.7,+0.7,Matches
Jamie Donley,eng ENG,FW,Tottenham,18,2005,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Abdoulaye Doucouré,ml MLI,"FW,MF",Everton,30,1993,29.2,7,47,21,44.7,1.61,0.72,0.15,0.33,12.2,0,0,0,8.8,8.8,0.20,-1.8,-1.8,Matches
Cheick Doucouré,ml MLI,MF,Crystal Palace,23,2000,10.2,0,6,2,33.3,0.59,0.20,0.00,0.00,21.6,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches
Alfie Doughty,eng ENG,DF,Luton Town,23,1999,32.5,2,26,8,30.8,0.80,0.25,0.08,0.25,16.3,2,0,0,1.3,1.3,0.05,+0.7,+0.7,Matches
Tommy Doyle,eng ENG,MF,Wolves,21,2001,13.6,0,14,3,21.4,1.03,0.22,0.00,0.00,26.2,2,0,0,0.4,0.4,0.03,-0.4,-0.4,Matches
Radu Drăgușin,ro ROU,DF,Tottenham,21,2002,4.8,0,1,0,0.0,0.21,0.00,0.00,,10.4,0,0,0,0.1,0.1,0.14,-0.1,-0.1,Matches
Martin Dúbravka,sk SVK,GK,Newcastle Utd,34,1989,22.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Paul Dummett,wls WAL,DF,Newcastle Utd,31,1991,0.2,0,1,0,0.0,4.50,0.00,0.00,,16.1,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
Lewis Dunk,eng ENG,DF,Brighton,31,1991,31.9,3,33,12,36.4,1.04,0.38,0.09,0.25,13.4,4,0,0,3.1,3.1,0.09,-0.1,-0.1,Matches
Jhon Durán,co COL,"FW,MF",Aston Villa,19,2003,5.3,5,20,7,35.0,3.79,1.33,0.25,0.71,16.8,0,0,0,2.0,2.0,0.10,+3.0,+3.0,Matches
George Earthy,eng ENG,FW,West Ham,18,2004,0.4,1,1,1,100.0,2.65,2.65,1.00,1.00,3.8,0,0,0,0.3,0.3,0.31,+0.7,+0.7,Matches
Ederson,br BRA,GK,Manchester City,29,1993,30.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Odsonne Édouard,fr FRA,"FW,MF",Crystal Palace,25,1998,17.3,7,51,19,37.3,2.95,1.10,0.14,0.37,13.7,3,0,0,6.2,6.2,0.12,+0.8,+0.8,Matches
John Egan,ie IRL,DF,Sheffield Utd,30,1992,5.4,0,3,1,33.3,0.56,0.19,0.00,0.00,10.3,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
Hjalmar Ekdal,se SWE,DF,Burnley,24,1998,4.9,0,2,1,50.0,0.41,0.21,0.00,0.00,16.4,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
Anthony Elanga,se SWE,"FW,MF",Nott'ham Forest,21,2002,27.0,5,54,22,40.7,2.00,0.81,0.09,0.23,16.2,0,0,0,6.6,6.6,0.12,-1.6,-1.6,Matches
Harvey Elliott,eng ENG,"MF,FW",Liverpool,20,2003,15.0,3,49,16,32.7,3.26,1.07,0.06,0.19,20.8,2,0,0,2.7,2.7,0.06,+0.3,+0.3,Matches
Mohamed Elneny,eg EGY,MF,Arsenal,31,1992,0.3,0,2,1,50.0,6.43,3.21,0.00,0.00,25.8,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
Emerson,br BRA,DF,Tottenham,24,1999,12.9,1,6,3,50.0,0.47,0.23,0.17,0.33,22.5,0,0,0,0.2,0.2,0.03,+0.8,+0.8,Matches
Julio Enciso,py PAR,"MF,FW",Brighton,19,2004,5.3,0,28,8,28.6,5.31,1.52,0.00,0.00,21.2,0,0,0,1.4,1.4,0.05,-1.4,-1.4,Matches
Wataru Endo,jp JPN,MF,Liverpool,30,1993,19.1,1,10,3,30.0,0.52,0.16,0.10,0.33,22.0,0,0,0,0.5,0.5,0.05,+0.5,+0.5,Matches
Christian Eriksen,dk DEN,MF,Manchester Utd,31,1992,12.7,1,13,4,30.8,1.03,0.32,0.08,0.25,22.0,2,0,0,1.0,1.0,0.08,0.0,0.0,Matches
Maxime Estève,fr FRA,DF,Burnley,21,2002,14.5,0,7,0,0.0,0.48,0.00,0.00,,19.1,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches
Pervis Estupiñán,ec ECU,DF,Brighton,25,1998,13.8,2,11,6,54.5,0.80,0.43,0.18,0.33,18.8,0,0,0,1.0,1.0,0.09,+1.0,+1.0,Matches

Jonny Evans,nir NIR,DF,Manchester Utd,35,1988,15.5,0,1,0,0.0,0.06,0.00,0.00,,5.4,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
Eberechi Eze,eng ENG,"MF,FW",Crystal Palace,25,1998,22.8,11,82,33,40.2,3.59,1.45,0.12,0.30,20.7,12,1,1,9.1,8.3,0.10,+1.9,+1.7,Matches
Łukasz Fabiański,pl POL,GK,West Ham,38,1985,8.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Romain Faivre,fr FRA,"MF,FW",Bournemouth,25,1998,0.5,0,2,0,0.0,4.39,0.00,0.00,,17.0,0,0,0,0.2,0.2,0.08,-0.2,-0.2,Matches
Ansu Fati,es ESP,"MF,FW",Brighton,20,2002,5.8,2,26,11,42.3,4.49,1.90,0.08,0.18,14.6,0,0,0,3.4,3.4,0.13,-1.4,-1.4,Matches
Felipe,br BRA,DF,Nott'ham Forest,34,1989,4.2,0,3,0,0.0,0.72,0.00,0.00,,16.6,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
Evan Ferguson,ie IRL,FW,Brighton,18,2004,15.2,6,33,20,60.6,2.17,1.32,0.18,0.30,15.5,0,0,0,4.6,4.6,0.14,+1.4,+1.4,Matches
Bruno Fernandes,pt POR,"MF,FW",Manchester Utd,28,1994,34.6,10,90,35,38.9,2.60,1.01,0.07,0.17,22.8,11,4,5,10.0,6.1,0.07,0.0,-0.1,Matches
Enzo Fernández,ar ARG,MF,Chelsea,22,2001,24.5,3,45,13,28.9,1.83,0.53,0.04,0.15,21.3,2,1,2,6.2,4.6,0.10,-3.2,-2.6,Matches
John Fleck,sct SCO,"MF,DF",Sheffield Utd,31,1991,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Mark Flekken,nl NED,GK,Brentford,30,1993,36.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Phil Foden,eng ENG,"FW,MF",Manchester City,23,2000,31.7,19,105,48,45.7,3.31,1.51,0.18,0.40,18.5,4,0,0,10.3,10.3,0.10,+8.7,+8.7,Matches
Wes Foderingham,eng ENG,GK,Sheffield Utd,32,1991,29.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Pablo Fornals,es ESP,"MF,FW",West Ham,27,1996,4.7,0,7,3,42.9,1.48,0.63,0.00,0.00,20.1,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches
Omari Forson,eng ENG,FW,Manchester Utd,19,2004,0.8,0,1,0,0.0,1.29,0.00,0.00,,21.6,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
Lyle Foster,za RSA,"FW,MF",Burnley,22,2000,21.1,5,34,16,47.1,1.61,0.76,0.15,0.31,14.6,0,0,0,4.5,4.5,0.13,+0.5,+0.5,Matches
Matheus França,br BRA,"MF,FW",Crystal Palace,19,2004,2.6,0,8,2,25.0,3.10,0.78,0.00,0.00,21.8,0,0,0,0.4,0.4,0.05,-0.4,-0.4,Matches
Nathan Fraser,ie IRL,FW,Wolves,18,2005,2.1,0,3,2,66.7,1.45,0.97,0.00,0.00,16.6,0,0,0,0.3,0.3,0.11,-0.3,-0.3,Matches
Cody Gakpo,nl NED,"FW,MF",Liverpool,24,1999,18.3,8,66,24,36.4,3.60,1.31,0.12,0.33,15.4,0,0,0,9.0,9.0,0.14,-1.0,-1.0,Matches
Conor Gallagher,eng ENG,MF,Chelsea,23,2000,34.8,5,48,17,35.4,1.38,0.49,0.10,0.29,20.4,0,0,0,4.2,4.2,0.09,+0.8,+0.8,Matches
Idrissa Gana Gueye,sn SEN,MF,Everton,33,1989,20.9,4,26,7,26.9,1.24,0.33,0.15,0.57,22.2,1,0,0,1.3,1.3,0.05,+2.7,+2.7,Matches
Alejandro Garnacho,ar ARG,FW,Manchester Utd,19,2004,28.5,7,100,27,27.0,3.51,0.95,0.07,0.26,15.8,0,0,0,8.4,8.3,0.08,-1.4,-1.3,Matches
James Garner,eng ENG,MF,Everton,22,2001,33.4,1,41,10,24.4,1.23,0.30,0.02,0.10,22.1,5,0,0,2.7,2.7,0.07,-1.7,-1.7,Matches
Saman Ghoddos,ir IRN,DF,Brentford,29,1993,8.2,1,9,2,22.2,1.10,0.24,0.11,0.50,22.5,0,0,0,0.3,0.3,0.03,+0.7,+0.7,Matches
Morgan Gibbs-White,eng ENG,"MF,FW",Nott'ham Forest,23,2000,35.1,5,70,13,18.6,2.00,0.37,0.06,0.31,19.8,4,1,1,6.9,6.1,0.09,-1.9,-2.1,Matches

Bryan Gil,es ESP,"FW,MF",Tottenham,22,2001,2.3,0,4,1,25.0,1.72,0.43,0.00,0.00,13.9,0,0,0,0.8,0.8,0.19,-0.8,-0.8,Matches
Alfie Gilchrist,eng ENG,DF,Chelsea,19,2003,2.3,1,5,1,20.0,2.17,0.43,0.20,1.00,13.5,0,0,0,0.3,0.3,0.06,+0.7,+0.7,Matches
Billy Gilmour,sct SCO,MF,Brighton,22,2001,23.6,0,25,5,20.0,1.06,0.21,0.00,0.00,25.4,0,0,0,1.0,1.0,0.04,-1.0,-1.0,Matches
Ben Godfrey,eng ENG,DF,Everton,25,1998,12.4,0,15,3,20.0,1.21,0.24,0.00,0.00,12.0,0,0,0,1.7,1.7,0.12,-1.7,-1.7,Matches
André Gomes,pt POR,"MF,FW",Everton,30,1993,5.6,1,8,4,50.0,1.42,0.71,0.13,0.25,22.4,2,0,0,0.3,0.3,0.04,+0.7,+0.7,Matches
João Gomes,br BRA,MF,Wolves,22,2001,29.4,2,26,7,26.9,0.88,0.24,0.08,0.29,18.5,0,0,0,1.7,1.7,0.07,+0.3,+0.3,Matches
Toti Gomes,pt POR,DF,Wolves,24,1999,30.8,1,10,5,50.0,0.32,0.16,0.10,0.20,9.9,0,0,0,1.6,1.6,0.16,-0.6,-0.6,Matches
Joe Gomez,eng ENG,DF,Liverpool,26,1997,19.8,0,19,2,10.5,0.96,0.10,0.00,0.00,19.9,0,0,0,0.8,0.8,0.04,-0.8,-0.8,Matches
Sergio Gómez,es ESP,"FW,MF",Manchester City,22,2000,0.6,0,2,0,0.0,3.40,0.00,0.00,,15.4,0,0,0,0.2,0.2,0.12,-0.2,-0.2,Matches
Enso Gonzalez,py PAR,"MF,DF",Wolves,18,2005,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Anthony Gordon,eng ENG,FW,Newcastle Utd,22,2001,32.1,11,80,29,36.3,2.49,0.90,0.13,0.34,17.3,1,1,1,10.2,9.4,0.12,+0.8,+0.6,Matches
Kaide Gordon,eng ENG,FW,Liverpool,18,2004,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Daniel Gore,eng ENG,MF,Manchester Utd,18,2004,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Ryan Gravenberch,nl NED,MF,Liverpool,21,2002,12.5,1,23,8,34.8,1.85,0.64,0.04,0.13,20.6,0,0,0,2.0,2.0,0.09,-1.0,-1.0,Matches
Ivo Grbić,hr CRO,GK,Sheffield Utd,27,1996,8.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Jack Grealish,eng ENG,"FW,MF",Manchester City,27,1995,11.2,3,22,5,22.7,1.96,0.45,0.14,0.60,16.1,0,0,0,2.1,2.1,0.09,+0.9,+0.9,Matches
Pascal Groß,de GER,"MF,DF",Brighton,32,1991,34.6,4,54,18,33.3,1.56,0.52,0.06,0.17,19.8,4,1,1,6.5,5.7,0.11,-2.5,-2.7,Matches
Marc Guéhi,eng ENG,DF,Crystal Palace,23,2000,22.5,0,5,0,0.0,0.22,0.00,0.00,,9.7,0,0,0,0.6,0.6,0.13,-0.6,-0.6,Matches
Bruno Guimarães,br BRA,MF,Newcastle Utd,25,1997,36.3,7,48,16,33.3,1.32,0.44,0.15,0.44,17.8,0,0,0,4.8,4.8,0.10,+2.2,+2.2,Matches
Malo Gusto,fr FRA,DF,Chelsea,20,2003,19.5,0,15,5,33.3,0.77,0.26,0.00,0.00,18.2,0,0,0,0.9,0.9,0.06,-0.9,-0.9,Matches
Joško Gvardiol,hr CRO,DF,Manchester City,21,2002,25.9,4,32,13,40.6,1.24,0.50,0.13,0.31,15.6,0,0,0,3.1,3.1,0.10,+0.9,+0.9,Matches
Erling Haaland,no NOR,FW,Manchester City,23,2000,28.4,27,113,50,44.2,3.99,1.76,0.18,0.40,11.9,1,7,8,29.2,22.9,0.20,-2.2,-2.9,Matches
Antwoine Hackford,eng ENG,FW,Sheffield Utd,19,2004,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Lewis Hall,eng ENG,DF,Newcastle Utd,18,2004,8.7,1,11,4,36.4,1.27,0.46,0.09,0.25,20.8,0,0,0,0.3,0.3,0.03,+0.7,+0.7,Matches
Gustavo Hamer,nl NED,MF,Sheffield Utd,26,1997,32.3,4,49,13,26.5,1.52,0.40,0.08,0.31,23.5,6,0,0,3.0,3.0,0.06,+1.0,+1.0,Matches

Luke Harris,wls WAL,MF,Fulham,18,2005,0.8,0,1,1,100.0,1.20,1.20,0.00,0.00,11.2,0,0,0,0.3,0.3,0.28,-0.3,-0.3,Matches
Jack Harrison,eng ENG,"MF,FW",Everton,26,1996,24.6,3,34,9,26.5,1.38,0.37,0.09,0.33,17.8,1,0,0,3.6,3.6,0.11,-0.6,-0.6,Matches
Daiki Hashioka,jp JPN,DF,Luton Town,24,1999,6.6,0,2,0,0.0,0.30,0.00,0.00,,18.1,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
Kai Havertz,de GER,"MF,FW",Arsenal,24,1999,29.3,13,68,27,39.7,2.32,0.92,0.18,0.44,12.4,0,1,1,12.3,11.6,0.17,+0.7,+0.4,Matches
Jan Paul van Hecke,nl NED,DF,Brighton,23,2000,26.3,0,15,6,40.0,0.57,0.23,0.00,0.00,11.3,0,0,0,1.2,1.2,0.08,-1.2,-1.2,Matches
Hwang Hee-chan,kr KOR,"FW,MF",Wolves,27,1996,23.5,12,44,17,38.6,1.87,0.72,0.25,0.65,12.2,0,1,1,7.7,6.9,0.16,+4.3,+4.1,Matches
Dean Henderson,eng ENG,GK,Crystal Palace,26,1997,18.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Rico Henry,eng ENG,DF,Brentford,26,1997,4.5,0,2,0,0.0,0.45,0.00,0.00,,19.2,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
Son Heung-min,kr KOR,FW,Tottenham,31,1992,32.6,17,83,38,45.8,2.55,1.17,0.18,0.39,15.5,0,2,2,12.0,10.4,0.13,+5.0,+4.6,Matches
Aaron Hickey,sct SCO,DF,Brentford,21,2002,7.9,0,7,1,14.3,0.88,0.13,0.00,0.00,25.3,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
James Hill,eng ENG,DF,Bournemouth,21,2002,0.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Jack Hinshelwood,eng ENG,DF,Brighton,18,2005,9.7,3,14,8,57.1,1.45,0.83,0.21,0.38,9.2,0,0,0,1.9,1.9,0.14,+1.1,+1.1,Matches
Mason Holgate,eng ENG,DF,Sheffield Utd,26,1996,7.9,0,3,0,0.0,0.38,0.00,0.00,,6.5,0,0,0,0.6,0.6,0.22,-0.6,-0.6,Matches
Callum Hudson-Odoi,eng ENG,"FW,MF",Nott'ham Forest,22,2000,20.6,8,38,20,52.6,1.84,0.97,0.21,0.40,18.3,1,0,0,2.7,2.7,0.07,+5.3,+5.3,Matches
Will Hughes,eng ENG,MF,Crystal Palace,28,1995,21.0,0,8,3,37.5,0.38,0.14,0.00,0.00,18.3,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches
Pierre Højbjerg,dk DEN,MF,Tottenham,27,1995,14.6,0,19,6,31.6,1.30,0.41,0.00,0.00,26.5,3,0,0,0.7,0.7,0.04,-0.7,-0.7,Matches
Rasmus Højlund,dk DEN,FW,Manchester Utd,20,2003,24.0,10,38,20,52.6,1.58,0.83,0.26,0.50,11.6,0,0,0,7.6,7.6,0.20,+2.4,+2.4,Matches
Igor,br BRA,DF,Brighton,25,1998,18.2,0,5,0,0.0,0.27,0.00,0.00,,21.0,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches
Danny Ings,eng ENG,FW,West Ham,31,1992,4.5,1,12,4,33.3,2.67,0.89,0.08,0.25,13.4,0,0,0,1.3,1.3,0.11,-0.3,-0.3,Matches
Tim Iroegbunam,eng ENG,MF,Aston Villa,20,2003,1.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Alexander Isak,se SWE,FW,Newcastle Utd,23,1999,25.1,21,72,36,50.0,2.87,1.44,0.22,0.44,14.5,1,5,6,20.3,15.6,0.22,+0.7,+0.4,Matches
Alex Iwobi,ng NGA,MF,Everton,27,1996,1.6,0,4,2,50.0,2.57,1.29,0.00,0.00,16.2,0,0,0,0.3,0.3,0.08,-0.3,-0.3,Matches
Alex Iwobi,ng NGA,"FW,MF",Fulham,27,1996,24.4,5,51,18,35.3,2.09,0.74,0.10,0.28,18.5,0,0,0,5.3,5.3,0.10,-0.3,-0.3,Matches
Nicolas Jackson,sn SEN,FW,Chelsea,22,2001,31.1,14,80,38,47.5,2.57,1.22,0.18,0.37,12.6,0,0,0,18.6,18.6,0.23,-4.6,-4.6,Matches
Reece James,eng ENG,DF,Chelsea,23,1999,4.7,0,7,1,14.3,1.50,0.21,0.00,0.00,20.9,3,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches

Vitaly Janelt,de GER,"MF,DF",Brentford,25,1998,33.9,1,21,7,33.3,0.62,0.21,0.05,0.14,18.0,0,0,0,1.8,1.8,0.08,-0.8,-0.8,Matches
Daniel Jebbison,eng ENG,FW,Sheffield Utd,19,2003,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Mathias Jensen,dk DEN,MF,Brentford,27,1996,24.5,3,14,7,50.0,0.57,0.29,0.21,0.43,26.7,3,0,0,0.7,0.7,0.05,+2.3,+2.3,Matches
Gabriel Jesus,br BRA,FW,Arsenal,26,1997,16.4,4,55,19,34.5,3.35,1.16,0.07,0.21,12.2,0,0,0,6.3,6.3,0.12,-2.3,-2.3,Matches
Raúl Jiménez,mx MEX,FW,Fulham,32,1991,15.5,7,41,17,41.5,2.65,1.10,0.17,0.41,14.7,0,0,0,5.2,5.2,0.13,+1.8,+1.8,Matches
João Pedro,br BRA,"FW,MF",Brighton,21,2001,22.7,9,70,20,28.6,3.08,0.88,0.07,0.25,14.4,0,4,5,11.9,7.9,0.11,-2.9,-2.9,Matches
Joelinton,br BRA,"MF,FW",Newcastle Utd,26,1996,14.2,2,19,7,36.8,1.34,0.49,0.11,0.29,15.5,0,0,0,3.1,3.1,0.16,-1.1,-1.1,Matches
Ryan John Giles,eng ENG,"DF,MF",Luton Town,23,2000,5.6,0,2,2,100.0,0.36,0.36,0.00,0.00,14.2,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
Ben Johnson,eng ENG,"DF,FW",West Ham,23,2000,6.0,0,6,2,33.3,0.99,0.33,0.00,0.00,24.1,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
Brennan Johnson,wls WAL,FW,Tottenham,22,2001,23.2,5,50,19,38.0,2.16,0.82,0.10,0.26,12.9,0,0,0,10.3,10.3,0.21,-5.3,-5.3,Matches
Brennan Johnson,wls WAL,"FW,MF",Nott'ham Forest,22,2001,2.6,0,3,0,0.0,1.14,0.00,0.00,,19.7,0,0,0,0.3,0.3,0.11,-0.3,-0.3,Matches
Joseph Johnson,eng ENG,DF,Luton Town,17,2006,0.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Sam Johnstone,eng ENG,GK,Crystal Palace,30,1993,20.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Curtis Jones,eng ENG,MF,Liverpool,22,2001,13.0,1,19,5,26.3,1.47,0.39,0.05,0.20,16.2,0,0,0,2.6,2.6,0.14,-1.6,-1.6,Matches
Jorginho,it ITA,MF,Arsenal,31,1991,10.2,0,4,0,0.0,0.39,0.00,0.00,,24.6,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
Diogo Jota,pt POR,FW,Liverpool,26,1996,12.7,10,41,19,46.3,3.22,1.49,0.24,0.53,12.3,0,0,0,5.3,5.3,0.13,+4.7,+4.7,Matches
Mads Juel Andersen,dk DEN,DF,Luton Town,25,1997,4.4,1,3,1,33.3,0.68,0.23,0.33,1.00,9.2,0,0,0,0.3,0.3,0.09,+0.7,+0.7,Matches
Hamed Junior Traorè,ci CIV,MF,Bournemouth,23,2000,0.5,0,3,2,66.7,5.74,3.83,0.00,0.00,25.9,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches
Mathias Jørgensen,dk DEN,DF,Brentford,33,1990,12.1,1,8,2,25.0,0.66,0.17,0.13,0.50,14.2,0,0,0,0.7,0.7,0.09,+0.3,+0.3,Matches
Issa Kaboré,bf BFA,DF,Luton Town,22,2001,19.2,0,6,1,16.7,0.31,0.05,0.00,0.00,15.8,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
Sasa Kalajdzic,at AUT,FW,Wolves,26,1997,1.8,2,4,2,50.0,2.17,1.08,0.50,1.00,11.2,0,0,0,1.1,1.1,0.26,+0.9,+0.9,Matches
Boubacar Kamara,fr FRA,MF,Aston Villa,23,1999,18.4,0,5,1,20.0,0.27,0.05,0.00,0.00,16.7,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
Willy Kambwala,fr FRA,DF,Manchester Utd,18,2004,3.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Thomas Kaminski,be BEL,GK,Luton Town,30,1992,37.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Loris Karius,de GER,GK,Newcastle Utd,30,1993,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches

Michael Keane,eng ENG,DF,Everton,30,1993,4.9,1,6,4,66.7,1.23,0.82,0.17,0.25,10.8,0,0,0,0.7,0.7,0.12,+0.3,+0.3,Matches
Thilo Kehrer,de GER,"DF,MF",West Ham,26,1996,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Caoimhín Kelleher,ie IRL,GK,Liverpool,24,1998,10.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Lloyd Kelly,eng ENG,DF,Bournemouth,24,1998,17.3,0,4,1,25.0,0.23,0.06,0.00,0.00,8.6,0,0,0,0.3,0.3,0.08,-0.3,-0.3,Matches
Omari Kellyman,eng ENG,FW,Aston Villa,17,2005,0.4,0,1,0,0.0,2.43,0.00,0.00,,20.8,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
Milos Kerkez,hu HUN,DF,Bournemouth,19,2003,21.9,0,16,5,31.3,0.73,0.23,0.00,0.00,19.3,0,0,0,1.2,1.2,0.08,-1.2,-1.2,Matches
Kaine Kesler-Hayden,eng ENG,"MF,DF",Aston Villa,20,2002,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Max Kilman,eng ENG,DF,Wolves,26,1997,38.0,2,14,5,35.7,0.37,0.13,0.14,0.40,9.8,0,0,0,1.8,1.8,0.13,+0.2,+0.2,Matches
Jakub Kiwior,pl POL,DF,Arsenal,23,2000,10.5,1,6,2,33.3,0.57,0.19,0.17,0.50,13.8,0,0,0,0.8,0.8,0.14,+0.2,+0.2,Matches
Justin Kluivert,nl NED,"MF,FW",Bournemouth,24,1999,21.3,7,56,20,35.7,2.63,0.94,0.13,0.35,17.4,3,0,0,6.2,6.2,0.11,+0.8,+0.8,Matches
Luca Koleosho,it ITA,"MF,FW",Burnley,18,2004,10.8,1,23,5,21.7,2.13,0.46,0.04,0.20,18.5,0,0,0,2.0,2.0,0.09,-1.0,-1.0,Matches
Ibrahima Konaté,fr FRA,DF,Liverpool,24,1999,17.5,0,11,2,18.2,0.63,0.11,0.00,0.00,11.6,0,0,0,0.7,0.7,0.06,-0.7,-0.7,Matches
Ezri Konsa,eng ENG,DF,Aston Villa,25,1997,34.1,1,19,5,26.3,0.56,0.15,0.05,0.20,12.2,0,0,0,2.5,2.5,0.13,-1.5,-1.5,Matches
Cheikhou Kouyaté,sn SEN,MF,Nott'ham Forest,33,1989,2.4,0,5,1,20.0,2.12,0.42,0.00,0.00,19.8,0,0,0,0.3,0.3,0.06,-0.3,-0.3,Matches
Mateo Kovačić,hr CRO,MF,Manchester City,29,1994,17.2,1,22,5,22.7,1.28,0.29,0.05,0.20,20.8,0,0,0,1.3,1.3,0.06,-0.3,-0.3,Matches
Emil Krafth,se SWE,DF,Newcastle Utd,28,1994,10.1,0,4,0,0.0,0.39,0.00,0.00,,17.9,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
Mohammed Kudus,gh GHA,"FW,MF",West Ham,22,2000,27.6,8,67,17,25.4,2.43,0.62,0.12,0.47,18.6,0,0,0,5.1,5.1,0.08,+2.9,+2.9,Matches
Dejan Kulusevski,se SWE,"FW,MF",Tottenham,23,2000,30.7,8,57,23,40.4,1.86,0.75,0.14,0.35,15.7,0,0,0,4.7,4.7,0.08,+3.3,+3.3,Matches
Adam Lallana,eng ENG,"MF,FW",Brighton,35,1988,9.4,0,11,2,18.2,1.16,0.21,0.00,0.00,17.8,0,0,0,0.8,0.8,0.08,-0.8,-0.8,Matches
