Player,Nation,Position,Squad,Age,Year of birth,90s Played,Yellow Cards,Red Cards,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Crosses,Interceptions,Tackles Won,Penalty Kicks Won,Penalty Kicks Conceded,Own Goals,Ball Recoveries,Aerials Won,Aerials Lost,% of Aerials Won,Matches
Christopher Nkunku,fr FRA,"FW,MF",Chelsea,25,1997,4.9,0,0,0,8,7,3,4,2,4,0,0,0,12,10,6,62.5,Matches
Rhys Norrington-Davies,wls WAL,DF,Sheffield Utd,24,1999,1.2,1,0,0,3,1,1,2,1,1,0,0,0,4,1,1,50.0,Matches
Oliver Norwood,nir NIR,MF,Sheffield Utd,32,1991,16.0,8,0,0,15,9,0,52,21,26,0,1,0,98,14,16,46.7,Matches
Matheus Nunes,pt POR,MF,Wolves,24,1998,2.0,2,1,1,1,7,3,3,6,1,0,0,0,10,2,1,66.7,Matches
Matheus Nunes,pt POR,MF,Manchester City,24,1998,7.3,0,0,0,8,16,2,19,1,4,0,0,0,30,5,8,38.5,Matches
Darwin Núñez,uy URU,FW,Liverpool,24,1999,22.7,9,0,0,28,15,33,19,3,12,1,0,0,56,34,55,38.2,Matches
Ethan Nwaneri,eng ENG,FW,Arsenal,16,2007,0.2,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,100.0,Matches
Christian Nørgaard,dk DEN,MF,Brentford,29,1994,27.8,8,0,0,41,32,1,22,54,50,0,0,0,216,40,46,46.5,Matches
Mark O'Mahony,ie IRL,FW,Brighton,18,2005,0.7,1,0,0,1,0,0,0,0,0,0,0,0,2,1,3,25.0,Matches
Dara O'Shea,ie IRL,DF,Burnley,24,1999,32.1,5,1,0,36,15,1,11,35,20,0,0,1,140,127,67,65.5,Matches
Michael Obafemi,ie IRL,"FW,MF",Burnley,23,2000,0.2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0,Matches
Wilson Odobert,fr FRA,"MF,FW",Burnley,18,2004,23.3,3,0,0,9,19,1,35,6,13,0,0,0,94,8,15,34.8,Matches
Odeluga Offiah,eng ENG,DF,Brighton,20,2002,1.4,0,0,0,2,2,0,3,1,0,0,0,0,4,1,1,50.0,Matches
Chiedozie Ogbene,ie IRL,"MF,DF",Luton Town,26,1997,22.2,1,0,0,8,50,8,79,7,10,2,0,0,125,28,23,54.9,Matches
Angelo Ogbonna,it ITA,DF,West Ham,35,1988,7.1,1,0,0,1,3,0,0,3,5,0,0,0,10,12,7,63.2,Matches
Michael Olakigbe,eng ENG,"DF,FW",Brentford,19,2004,0.7,0,0,0,2,2,1,7,1,0,0,0,0,7,1,2,33.3,Matches
Michael Olise,fr FRA,"FW,MF",Crystal Palace,21,2001,14.2,0,0,0,13,43,2,97,11,10,0,0,0,68,7,15,31.8,Matches
Robin Olsen,se SWE,GK,Aston Villa,33,1990,4.5,0,0,0,0,2,0,0,0,0,0,0,0,4,2,0,100.0,Matches
Andrew Omobamidele,ie IRL,DF,Nott'ham Forest,21,2002,8.7,2,0,0,6,3,0,0,13,3,0,0,1,21,7,10,41.2,Matches
Amadou Onana,be BEL,MF,Everton,21,2001,23.2,5,0,0,37,45,1,3,21,38,0,1,0,160,52,18,74.3,Matches

André Onana,cm CMR,GK,Manchester Utd,27,1996,38.0,5,0,0,1,4,0,0,0,0,0,1,0,44,14,2,87.5,Matches
Ryan One,sct SCO,FW,Sheffield Utd,17,2006,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Matches
Tyler Onyango,eng ENG,MF,Everton,20,2003,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
Fred Onyedinma,eng ENG,"DF,MF",Luton Town,26,1996,4.5,1,0,0,10,6,0,13,1,6,0,1,0,10,8,6,57.1,Matches
Frank Onyeka,ng NGA,MF,Brentford,25,1998,12.9,8,0,0,24,31,4,16,23,24,0,0,0,73,10,23,30.3,Matches
Divock Origi,be BEL,FW,Nott'ham Forest,28,1995,6.7,1,0,0,14,8,5,13,2,4,0,0,0,16,11,17,39.3,Matches
Stefan Ortega,de GER,GK,Manchester City,30,1992,7.1,0,0,0,0,1,0,0,0,0,0,0,0,12,1,0,100.0,Matches
Ben Osborn,eng ENG,"DF,MF",Sheffield Utd,28,1994,15.2,3,0,0,8,9,1,47,8,9,0,0,1,80,6,22,21.4,Matches
Gabriel Osho,ng NGA,DF,Luton Town,24,1998,20.5,3,0,0,23,14,1,3,31,22,0,0,0,103,36,36,50.0,Matches
William Osula,dk DEN,FW,Sheffield Utd,19,2003,8.7,4,0,0,15,12,6,2,2,2,0,0,0,12,24,70,25.5,Matches
Dango Ouattara,bf BFA,"FW,DF",Bournemouth,21,2002,13.7,3,0,0,15,17,4,36,22,27,0,0,0,69,35,32,52.2,Matches
David Ozoh,eng ENG,"MF,DF",Crystal Palace,18,2005,1.7,1,0,0,2,0,0,0,0,6,0,0,0,8,3,5,37.5,Matches
João Palhinha,pt POR,MF,Fulham,28,1995,30.0,13,0,0,52,56,2,5,46,75,0,1,0,195,40,31,56.3,Matches
Cole Palmer,eng ENG,"FW,MF",Chelsea,21,2002,29.0,7,0,0,23,26,6,81,20,12,1,0,0,105,1,4,20.0,Matches
Cole Palmer,eng ENG,MF,Manchester City,21,2002,0.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,Matches
Emerson Palmieri,it ITA,DF,West Ham,28,1994,34.9,10,0,0,32,33,1,49,43,68,2,1,1,142,25,23,52.1,Matches
Lucas Paquetá,br BRA,"FW,MF",West Ham,25,1997,29.1,10,0,0,47,66,5,35,21,48,0,0,0,194,59,59,50.0,Matches
Ben Parkinson,eng ENG,FW,Newcastle Utd,18,2005,0.3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,Matches
Thomas Partey,gh GHA,"MF,DF",Arsenal,30,1993,8.8,3,0,0,10,6,0,2,11,11,0,0,0,56,7,8,46.7,Matches
Nathan Patterson,sct SCO,DF,Everton,21,2001,11.2,4,0,0,18,5,1,32,9,24,0,0,0,60,7,10,41.2,Matches
Myles Peart-Harris,eng ENG,"DF,MF",Brentford,20,2002,0.1,0,0,0,2,2,0,1,0,0,0,0,0,0,0,5,0.0,Matches
Sydie Peck,eng ENG,MF,Sheffield Utd,18,2004,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Matches
Facundo Pellistri,uy URU,"FW,MF",Manchester Utd,21,2001,1.9,0,0,0,4,6,0,4,1,3,0,0,0,11,6,4,60.0,Matches
Andreas Pereira,br BRA,MF,Fulham,27,1996,29.0,6,0,0,22,27,3,220,4,12,0,0,0,99,13,36,26.5,Matches
Ivan Perišić,hr CRO,FW,Tottenham,34,1989,1.1,2,0,0,2,1,0,13,2,2,0,0,0,3,5,0,100.0,Matches

Đorđe Petrović,rs SRB,GK,Chelsea,23,1999,22.1,2,0,0,0,1,0,0,0,0,0,0,0,17,5,0,100.0,Matches
Kalvin Phillips,eng ENG,MF,West Ham,27,1995,3.4,3,1,1,14,5,0,1,4,6,0,1,0,23,7,1,87.5,Matches
Kalvin Phillips,eng ENG,MF,Manchester City,27,1995,1.0,0,0,0,3,2,0,2,2,3,0,0,0,8,0,0,,Matches
Jaden Philogene Bidace,eng ENG,FW,Aston Villa,21,2002,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Matches
Jordan Pickford,eng ENG,GK,Everton,29,1994,38.0,5,0,0,1,6,0,0,0,0,0,1,1,35,1,0,100.0,Matches
Ethan Pinnock,jm JAM,DF,Brentford,30,1993,28.0,1,0,0,4,11,0,7,43,23,0,0,0,131,113,51,68.9,Matches
Nick Pope,eng ENG,GK,Newcastle Utd,31,1992,14.9,1,0,0,0,3,0,0,0,0,0,0,0,13,3,1,75.0,Matches
Pedro Porro,es ESP,DF,Tottenham,23,1999,34.3,3,0,0,37,27,1,198,34,63,0,1,0,199,15,14,51.7,Matches
Jarell Quansah,eng ENG,DF,Liverpool,20,2003,13.2,1,0,0,10,2,0,0,17,22,0,1,0,72,45,22,67.2,Matches
Ionuț Radu,ro ROU,GK,Bournemouth,26,1997,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
Jesurun Rak Sakyi,eng ENG,"MF,FW",Crystal Palace,20,2002,1.5,0,0,0,1,5,0,3,3,1,0,0,0,6,2,1,66.7,Matches
Aaron Ramsdale,eng ENG,GK,Arsenal,25,1998,6.0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,,Matches
Aaron Ramsey,eng ENG,"MF,FW",Burnley,20,2003,5.9,1,0,0,7,3,1,2,1,14,0,1,0,24,4,5,44.4,Matches
Jacob Ramsey,eng ENG,"FW,MF",Aston Villa,22,2001,9.5,2,0,0,7,12,0,11,3,8,0,0,0,42,5,3,62.5,Matches
Marcus Rashford,eng ENG,FW,Manchester Utd,25,1997,25.2,2,0,0,13,21,12,35,4,12,1,0,0,81,15,26,36.6,Matches
David Raya,es ESP,GK,Arsenal,27,1995,32.0,2,0,0,0,4,0,0,0,1,0,0,0,38,5,1,83.3,Matches
Tim Ream,us USA,DF,Fulham,35,1987,16.7,4,1,1,8,6,1,1,25,9,0,2,0,79,25,19,56.8,Matches
Nathan Redmond,eng ENG,"FW,MF",Burnley,29,1994,1.6,1,0,0,4,2,2,3,0,1,0,0,0,6,1,1,50.0,Matches
Harrison Reed,eng ENG,MF,Fulham,28,1995,14.7,6,0,0,26,10,0,19,11,18,0,0,0,72,9,13,40.9,Matches
Sergio Reguilón,es ESP,DF,Manchester Utd,26,1996,4.6,3,0,0,4,11,3,29,5,8,0,0,0,21,5,9,35.7,Matches
Sergio Reguilón,es ESP,DF,Brentford,26,1996,12.4,4,1,0,10,15,1,72,16,20,0,1,0,75,14,20,41.2,Matches
Bobby Reid,jm JAM,FW,Fulham,30,1993,15.8,4,0,0,16,25,4,35,5,14,0,0,0,60,13,24,35.1,Matches
Gio Reyna,us USA,"FW,MF",Nott'ham Forest,20,2002,2.6,0,0,0,3,2,0,8,2,3,0,0,0,14,7,9,43.8,Matches
Rodrigo Ribeiro,pt POR,"MF,FW",Nott'ham Forest,18,2005,0.2,0,0,0,1,0,0,0,1,0,0,0,0,1,2,1,66.7,Matches
Declan Rice,eng ENG,MF,Arsenal,24,1999,35.8,5,0,0,34,13,2,60,44,51,0,2,0,178,39,43,47.6,Matches

Chris Richards,us USA,"DF,MF",Crystal Palace,23,2000,23.3,3,0,0,12,7,1,1,27,28,0,1,0,88,61,44,58.1,Matches
Richarlison,br BRA,FW,Tottenham,26,1997,16.6,3,0,0,20,30,12,14,8,11,0,0,0,42,25,57,30.5,Matches
Jaïro Riedewald,nl NED,"MF,FW",Crystal Palace,26,1996,2.6,0,0,0,3,2,0,3,2,3,0,0,0,14,3,1,75.0,Matches
Matt Ritchie,sct SCO,"FW,MF",Newcastle Utd,33,1989,1.4,1,0,0,2,1,0,7,1,3,0,0,0,5,0,3,0.0,Matches
Connor Roberts,wls WAL,DF,Burnley,27,1995,9.1,5,1,1,5,9,3,10,4,5,0,0,0,40,6,7,46.2,Matches
Andrew Robertson,sct SCO,DF,Liverpool,29,1994,18.8,2,0,0,9,5,3,184,13,24,0,0,0,104,14,12,53.8,Matches
Antonee Robinson,us USA,DF,Fulham,25,1997,36.3,6,0,0,34,20,3,132,80,58,0,0,2,227,42,27,60.9,Matches
Jack Robinson,eng ENG,DF,Sheffield Utd,29,1993,32.1,10,0,0,19,16,1,12,33,28,0,0,2,135,69,45,60.5,Matches
Rodri,es ESP,MF,Manchester City,27,1996,32.6,8,1,0,41,35,6,12,26,43,1,0,0,235,54,22,71.1,Matches
Jay Rodriguez,eng ENG,FW,Burnley,34,1989,9.1,0,0,0,18,6,7,1,1,9,0,0,0,25,21,38,35.6,Matches
Mads Roerslev,dk DEN,DF,Brentford,24,1999,22.1,1,0,0,10,15,3,62,19,31,0,0,0,82,14,27,34.1,Matches
Morgan Rogers,eng ENG,"MF,FW",Aston Villa,21,2002,7.1,3,0,0,12,9,0,2,3,1,0,0,0,31,7,8,46.7,Matches
Cristian Romero,ar ARG,DF,Tottenham,25,1998,31.0,7,1,0,31,24,1,3,44,40,0,2,1,189,87,39,69.0,Matches
Joe Rothwell,eng ENG,MF,Bournemouth,28,1995,4.3,0,0,0,4,2,0,12,3,2,0,1,0,32,0,2,0.0,Matches
Pelly Ruddock Mpanzu,cd COD,MF,Luton Town,30,1993,12.2,1,0,0,9,14,0,11,9,5,0,0,0,54,12,19,38.7,Matches
José Sá,pt POR,GK,Wolves,30,1993,33.7,1,0,0,0,9,0,0,0,0,0,0,0,29,10,0,100.0,Matches
Dominic Sadi,eng ENG,FW,Bournemouth,19,2003,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,Matches
Bukayo Saka,eng ENG,FW,Arsenal,21,2001,32.4,4,0,0,41,69,8,181,15,35,1,0,0,155,23,36,39.0,Matches
Mohamed Salah,eg EGY,FW,Liverpool,31,1992,28.2,2,0,0,12,26,17,41,2,11,1,0,0,84,6,14,30.0,Matches
William Saliba,fr FRA,DF,Arsenal,22,2001,38.0,4,0,0,22,16,0,3,29,26,0,1,0,213,72,49,59.5,Matches
Albert Sambi Lokonga,be BEL,MF,Luton Town,23,1999,14.5,4,0,0,18,27,0,13,11,18,0,0,0,64,15,9,62.5,Matches
Davinson Sánchez,co COL,DF,Tottenham,27,1996,0.9,1,0,0,2,1,0,0,1,0,0,0,0,4,3,1,75.0,Matches
Robert Sánchez,es ESP,GK,Chelsea,25,1997,15.9,2,0,0,0,1,0,0,0,0,0,0,0,20,3,0,100.0,Matches
Jadon Sancho,eng ENG,"FW,MF",Manchester Utd,23,2000,0.9,0,0,0,0,2,1,1,1,0,0,0,0,10,0,3,0.0,Matches
Ibrahim Sangaré,ci CIV,MF,Nott'ham Forest,25,1997,11.5,6,0,0,22,9,2,2,16,23,0,0,0,70,8,16,33.3,Matches

Andrey Santos,br BRA,MF,Nott'ham Forest,19,2004,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
Pablo Sarabia,es ESP,"MF,FW",Wolves,31,1992,19.4,5,0,0,21,25,9,131,10,13,0,0,0,90,7,21,25.0,Matches
Dane Scarlett,eng ENG,FW,Tottenham,19,2004,0.2,0,0,0,1,2,0,0,0,1,0,0,0,0,0,2,0.0,Matches
Kevin Schade,de GER,"FW,MF",Brentford,21,2001,3.7,0,0,0,10,6,2,5,1,1,0,0,0,23,17,14,54.8,Matches
Fabian Schär,ch SUI,DF,Newcastle Utd,31,1991,33.9,5,0,0,38,26,0,8,36,24,2,0,0,174,69,70,49.6,Matches
Jeffrey Schlupp,gh GHA,"FW,MF",Crystal Palace,30,1992,15.0,1,0,0,24,15,0,10,8,24,0,0,0,54,22,17,56.4,Matches
Alex Scott,eng ENG,MF,Bournemouth,19,2003,11.3,3,0,0,20,25,1,36,12,15,0,0,0,63,14,22,38.9,Matches
Matz Sels,be BEL,GK,Nott'ham Forest,31,1992,16.0,1,0,0,0,3,0,0,0,0,0,0,0,4,3,0,100.0,Matches
Nélson Semedo,pt POR,"DF,MF",Wolves,29,1993,34.3,10,1,0,48,30,1,80,36,48,0,2,0,188,22,27,44.9,Matches
Antoine Semenyo,gh GHA,FW,Bournemouth,23,2000,23.4,6,0,0,43,24,3,45,6,17,1,0,0,111,52,81,39.1,Matches
Marcos Senesi,ar ARG,DF,Bournemouth,26,1997,24.9,13,0,0,41,11,0,25,35,32,0,0,0,164,37,40,48.1,Matches
Luke Shaw,eng ENG,DF,Manchester Utd,28,1995,10.7,6,0,0,14,3,0,33,6,8,0,0,0,59,13,10,56.5,Matches
James Shea,eng ENG,GK,Luton Town,32,1991,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
Bernardo Silva,pt POR,"MF,FW",Manchester City,28,1994,28.6,8,0,0,22,26,3,83,17,23,0,0,0,102,2,9,18.2,Matches
Fábio Silva,pt POR,FW,Wolves,21,2002,2.9,2,0,0,8,4,5,0,2,4,0,1,0,15,2,5,28.6,Matches
Thiago Silva,br BRA,DF,Chelsea,38,1984,28.1,4,0,0,10,8,1,4,26,15,0,0,0,140,51,26,66.2,Matches
Luis Sinisterra,co COL,"FW,MF",Bournemouth,24,1999,7.8,0,0,0,11,6,4,11,8,12,0,0,0,47,16,20,44.4,Matches
Oliver Skipp,eng ENG,"MF,DF",Tottenham,22,2000,7.9,3,0,0,8,12,0,1,3,12,0,0,0,36,3,10,23.1,Matches
Adam Smith,eng ENG,DF,Bournemouth,32,1991,23.9,6,0,0,30,22,1,39,21,23,0,2,0,92,18,22,45.0,Matches
Emile Smith Rowe,eng ENG,MF,Arsenal,23,2000,3.9,0,0,0,5,2,0,1,3,1,0,0,0,15,3,5,37.5,Matches
Cédric Soares,pt POR,DF,Arsenal,31,1991,0.7,0,0,0,0,1,0,4,0,0,0,0,0,3,0,1,0.0,Matches
Dominic Solanke,eng ENG,FW,Bournemouth,25,1997,36.9,3,0,0,42,45,16,6,7,11,1,0,0,97,97,135,41.8,Matches
Manor Solomon,il ISR,FW,Tottenham,24,1999,2.2,1,0,0,2,1,1,5,3,3,0,0,0,11,0,1,0.0,Matches
Tomáš Souček,cz CZE,MF,West Ham,28,1995,31.9,7,0,0,41,24,10,6,37,35,0,1,0,151,108,78,58.1,Matches
Vinicius Souza,br BRA,MF,Sheffield Utd,24,1999,29.6,3,0,0,48,14,2,10,32,76,0,1,0,153,64,38,62.7,Matches

Jason Steele,eng ENG,GK,Brighton,32,1990,17.0,0,0,0,0,1,0,0,0,0,0,0,0,26,1,0,100.0,Matches
Raheem Sterling,eng ENG,"FW,MF",Chelsea,28,1994,22.0,7,0,0,34,41,10,59,13,10,3,0,0,92,2,14,12.5,Matches
John Stones,eng ENG,"DF,MF",Manchester City,29,1994,11.8,2,0,0,4,5,0,5,10,1,0,0,0,46,14,5,73.7,Matches
Thomas Strakosha,al ALB,GK,Brentford,28,1995,1.5,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,,Matches
Dominik Szoboszlai,hu HUN,MF,Liverpool,22,2000,23.4,1,0,0,29,29,3,113,15,19,2,0,0,171,12,20,37.5,Matches
Matt Targett,eng ENG,DF,Newcastle Utd,27,1995,0.9,1,0,0,0,2,0,0,0,0,0,0,0,5,0,3,0.0,Matches
James Tarkowski,eng ENG,DF,Everton,30,1992,38.0,11,0,0,45,25,1,6,56,42,0,1,0,186,140,61,69.7,Matches
Jimi Tauriainen,eng ENG,FW,Chelsea,19,2004,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
Nuno Tavares,pt POR,DF,Nott'ham Forest,23,2000,5.1,2,0,0,8,2,0,16,1,7,0,0,0,33,3,2,60.0,Matches
Marcus Tavernier,eng ENG,FW,Bournemouth,24,1999,23.5,3,0,0,20,22,3,116,5,34,0,0,0,142,13,31,29.5,Matches
Charlie Taylor,eng ENG,DF,Burnley,29,1993,25.9,8,0,0,20,16,2,71,19,20,0,0,0,106,41,38,51.9,Matches
Kenny Tete,nl NED,DF,Fulham,27,1995,9.6,2,0,0,16,12,0,23,16,17,0,1,0,45,5,5,50.0,Matches
Luke Thomas,eng ENG,DF,Sheffield Utd,22,2001,10.2,3,0,0,10,13,0,13,10,9,0,0,0,39,10,15,40.0,Matches
Youri Tielemans,be BEL,"MF,FW",Aston Villa,26,1997,18.0,3,0,0,22,29,0,31,15,20,0,0,0,97,13,9,59.1,Matches
Jurriën Timber,nl NED,DF,Arsenal,22,2001,0.8,2,0,0,3,0,1,1,0,2,0,0,0,4,1,1,50.0,Matches
Harry Toffolo,eng ENG,DF,Nott'ham Forest,27,1995,16.2,3,0,0,17,2,0,47,14,14,0,0,0,57,25,15,62.5,Matches
Takehiro Tomiyasu,jp JPN,DF,Arsenal,24,1998,12.8,2,1,1,14,8,1,14,18,9,0,0,0,54,25,20,55.6,Matches
James Tomkins,eng ENG,DF,Crystal Palace,34,1989,0.1,0,0,0,0,0,0,0,1,0,0,0,0,2,2,0,100.0,Matches
Sandro Tonali,it ITA,MF,Newcastle Utd,23,2000,4.9,2,0,0,9,6,0,11,2,7,0,0,0,20,1,0,100.0,Matches
Ivan Toney,eng ENG,FW,Brentford,27,1996,16.1,5,0,0,24,29,7,22,10,5,0,0,0,56,54,61,47.0,Matches
Pau Torres,es ESP,DF,Aston Villa,26,1997,27.4,1,0,0,18,10,2,8,14,18,0,0,0,127,23,22,51.1,Matches
Andros Townsend,eng ENG,"MF,FW",Luton Town,32,1991,13.4,1,0,0,13,12,2,74,5,13,0,0,0,68,0,10,0.0,Matches
James Trafford,eng ENG,GK,Burnley,20,2002,28.0,2,0,0,0,5,0,0,1,1,0,0,0,40,14,3,82.4,Matches
Adama Traoré,es ESP,"FW,MF",Fulham,27,1996,4.2,2,0,0,5,4,0,26,1,3,0,0,0,13,9,6,60.0,Matches
Bénie Traoré,ci CIV,"FW,MF",Sheffield Utd,20,2002,4.3,0,0,0,10,4,1,3,1,2,0,0,0,22,2,18,10.0,Matches

Bertrand Traoré,bf BFA,"DF,FW",Aston Villa,27,1995,0.1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,,Matches
Boubacar Traoré,ml MLI,MF,Wolves,21,2001,9.1,4,0,0,23,4,1,6,5,23,0,0,0,62,6,16,27.3,Matches
Mark Travers,ie IRL,GK,Bournemouth,24,1999,4.0,0,0,0,1,1,0,0,0,0,0,1,0,1,2,0,100.0,Matches
Mike Trésor,be BEL,"FW,MF",Burnley,24,1999,4.7,0,0,0,0,3,2,32,1,6,0,0,0,28,1,9,10.0,Matches
Kieran Trippier,eng ENG,DF,Newcastle Utd,32,1990,24.8,5,0,0,27,21,3,212,24,27,0,0,0,162,31,17,64.6,Matches
Leandro Trossard,be BEL,"FW,MF",Arsenal,28,1994,18.3,2,0,0,15,20,9,57,8,16,1,0,0,88,5,10,33.3,Matches
Auston Trusty,us USA,DF,Sheffield Utd,24,1998,28.6,4,0,0,23,13,3,5,35,30,0,1,0,89,61,49,55.5,Matches
Kostas Tsimikas,gr GRE,DF,Liverpool,27,1996,7.5,0,0,0,11,7,1,72,6,13,0,0,0,43,3,13,18.8,Matches
Matt Turner,us USA,GK,Nott'ham Forest,29,1994,17.0,2,0,0,0,3,0,0,0,0,0,0,0,11,4,0,100.0,Matches
Destiny Udogie,it ITA,DF,Tottenham,20,2002,26.6,7,1,1,51,36,3,22,37,33,0,0,0,169,22,26,45.8,Matches
Lesley Ugochukwu,fr FRA,MF,Chelsea,19,2004,3.3,2,0,0,4,2,0,0,1,10,0,0,0,12,9,2,81.8,Matches
Enes Ünal,tr TUR,"FW,MF",Bournemouth,26,1997,3.6,1,0,0,10,9,6,3,1,4,0,0,0,10,8,11,42.1,Matches
Virgil van Dijk,nl NED,DF,Liverpool,32,1991,35.3,3,1,0,23,13,1,0,39,23,0,0,0,170,140,32,81.4,Matches
Raphaël Varane,fr FRA,DF,Manchester Utd,30,1993,15.3,2,0,0,8,3,2,0,15,11,0,0,0,67,21,5,80.8,Matches
Alejo Véliz,ar ARG,FW,Tottenham,19,2003,0.6,1,0,0,0,1,3,0,0,0,0,0,0,0,1,2,33.3,Matches
Joël Veltman,nl NED,DF,Brighton,31,1992,17.6,4,0,0,17,42,1,11,18,41,0,0,0,76,28,21,57.1,Matches
Micky van de Ven,nl NED,DF,Tottenham,22,2001,26.0,5,0,0,13,17,1,3,18,35,0,1,0,144,38,41,48.1,Matches
Bart Verbruggen,nl NED,GK,Brighton,20,2002,21.0,3,0,0,1,2,0,0,0,1,0,0,0,33,5,0,100.0,Matches
Guglielmo Vicario,it ITA,GK,Tottenham,26,1996,38.0,2,0,0,0,8,0,0,1,0,0,0,0,61,21,1,95.5,Matches
Fabio Vieira,pt POR,"MF,FW",Arsenal,23,2000,3.3,0,1,0,8,10,2,15,2,2,2,0,0,16,1,0,100.0,Matches
Carlos Vinícius,br BRA,FW,Fulham,28,1995,3.5,2,0,0,4,2,6,1,0,2,0,0,0,9,4,11,26.7,Matches
Vitinho,br BRA,"DF,MF",Burnley,24,1999,25.7,1,0,0,27,28,6,56,12,34,1,2,0,109,19,22,46.3,Matches
Odisseas Vlachodimos,gr GRE,GK,Nott'ham Forest,29,1994,5.0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,,Matches
Kyle Walker,eng ENG,DF,Manchester City,33,1990,30.7,2,0,0,23,18,7,59,27,24,0,0,0,152,25,15,62.5,Matches
Aaron Wan-Bissaka,eng ENG,DF,Manchester Utd,25,1997,19.8,4,0,0,17,9,0,14,41,25,0,1,0,94,21,19,52.5,Matches

Joel Ward,eng ENG,DF,Crystal Palace,33,1989,22.0,4,0,0,22,6,0,22,14,28,0,0,1,94,46,48,48.9,Matches
James Ward-Prowse,eng ENG,MF,West Ham,28,1994,33.3,4,0,0,24,20,0,189,38,29,0,0,0,145,26,33,44.1,Matches
Lewis Warrington,eng ENG,FW,Everton,20,2002,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Matches
Deivid Washington,br BRA,"DF,FW",Chelsea,18,2005,0.1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,Matches
Ollie Watkins,eng ENG,FW,Aston Villa,27,1995,35.7,4,0,0,22,41,16,13,4,7,2,0,0,64,49,80,38.0,Matches
Adam Webster,eng ENG,DF,Brighton,28,1995,12.7,2,0,0,9,3,0,1,16,12,0,0,1,63,33,13,71.7,Matches
Danny Welbeck,eng ENG,"FW,MF",Brighton,32,1990,18.8,4,0,0,12,21,9,3,9,17,2,0,0,42,16,22,42.1,Matches
Timo Werner,de GER,FW,Tottenham,27,1996,9.0,1,0,0,3,5,12,28,3,4,0,0,0,27,1,2,33.3,Matches
Adam Wharton,eng ENG,MF,Crystal Palace,19,2004,14.4,2,0,0,18,21,0,25,20,32,0,0,0,76,7,12,36.8,Matches
Ethan Wheatley,eng ENG,FW,Manchester Utd,17,2006,0.2,0,0,0,3,0,0,0,2,1,0,0,0,1,0,0,,Matches
Ben White,eng ENG,DF,Arsenal,25,1997,33.2,8,0,0,19,12,11,57,32,28,0,0,0,120,36,22,62.1,Matches
Joe White,eng ENG,MF,Newcastle Utd,20,2002,0.1,1,0,0,2,0,0,0,0,1,0,0,0,2,0,2,0.0,Matches
Neco Williams,wls WAL,DF,Nott'ham Forest,22,2001,18.2,4,0,0,23,30,4,68,22,40,0,0,0,107,31,20,60.8,Matches
Willian,br BRA,FW,Fulham,34,1988,22.8,1,0,0,9,30,1,75,9,11,0,0,0,99,9,15,37.5,Matches
Joe Willock,eng ENG,MF,Newcastle Utd,23,1999,4.7,0,0,0,3,3,1,6,1,7,0,0,0,26,1,1,50.0,Matches
Callum Wilson,eng ENG,FW,Newcastle Utd,31,1992,11.0,3,0,0,16,17,4,3,2,3,0,0,0,17,9,16,36.0,Matches
Harry Wilson,wls WAL,FW,Fulham,26,1997,18.0,6,0,0,21,40,5,42,10,14,1,0,0,78,5,6,45.5,Matches
Yoane Wissa,cd COD,FW,Brentford,26,1996,27.7,7,0,0,38,51,20,21,9,16,1,0,0,99,38,47,44.7,Matches
Chris Wood,nz NZL,FW,Nott'ham Forest,31,1991,20.1,0,0,0,22,13,7,2,1,4,0,1,0,46,72,96,42.9,Matches
Cauley Woodrow,eng ENG,"FW,MF",Luton Town,28,1994,4.7,2,0,0,8,4,2,10,1,10,0,0,0,21,10,16,38.5,Matches
Joe Worrall,eng ENG,DF,Nott'ham Forest,26,1997,4.9,0,1,0,3,2,0,0,3,5,0,0,0,18,12,10,54.5,Matches
Yehor Yarmoliuk,ua UKR,MF,Brentford,19,2004,7.6,2,0,0,12,6,1,14,6,11,0,0,0,50,9,10,47.4,Matches
